商品编号,条形码,商口名称,类型,商品规格,单位,进价,售价,会员价,产地,描述,有货,图片,推荐,排名,新品
80031,083078002084,小蜜媞修护唇膏,08,10g,个,18,32,32,中国,"",1,80031.jpg,"",9999,yes
80032,4901221818305,惠百施sweep洁丽牙刷,08,,个,10.95,18,18,中国,"",1,80032.jpg,"",9999,yes
90079,6937451831249,不二家8只装水果味（中包）,09,500g,包,4,5.5,5.5,中国,"",1,90079.jpg,"",9999,yes
90080,6937451831751,不二家8支装清爽型（中包）,09,460g,包,4,5.5,5.5,中国,"",1,90080.jpg,"",9999,yes
90081,6920727804078,茉莉薄荷压片糖,09,12克,个,2,8,8,中国,"",1,90081.jpg,"",9999,yes
90082,6925253944014,RIO皓洁冰爽薄荷糖,09,15克,个,2,8,8,中国,"",1,90082.jpg,"",9999,yes
100050,8850157500975,巧客黄油味威化饼干,10,432g,个,16,28.8,28.8,中国,"",1,100050.jpg,"",9999,yes
100051,8801062272174,乐天扁桃仁巧克力棒,10,32克,盒,4,8,8,中国,"",1,100051.jpg,"",9999,yes
100052,4897047801297,TOY卡通饼干,10,,袋,10,25,25,中国,"",1,100052.jpg,"",9999,yes
100053,6936222800231,德多鱿鱼酥四联包,10,,个,10,18,18,中国,"",1,100053.jpg,"",9999,yes
120033,8852023665511,大哥烧烤花生,12,230g,瓶,11.5,23,23,中国,"",1,120033.jpg,"",9999,yes
120034,8852023666549,大哥酸辣花生,12,230g,瓶,11.5,23,23,中国,"",1,120034.jpg,"",9999,yes
120035,8852023664255,大哥咖啡花生,12,230g,瓶,11.5,23,23,中国,"",1,120035.jpg,"",9999,yes
120036,6948004700400,鲜引力柠檬片,12,18克,包,1.8,3.5,3.5,中国,"",1,120036.jpg,"",9999,yes
120037,6948004700646,鲜引力金橙片,12,16克,包,1.8,3.5,3.5,中国,"",1,120037.jpg,"",9999,yes
120038,6291100213184,波斯王椰枣（那格哈尔）,12,120克,个,9,18,18,中国,"",1,120038.jpg,"",9999,yes
120039,6291100213177,波斯王（可汗拉斯）,12,120克,个,9,18,18,中国,"",1,120039.jpg,"",9999,yes
120040,6291100213191,波斯王（鲁鲁）,12,160克,个,9,18,18,中国,"",1,120040.jpg,"",9999,yes
120041,8854099006243,怡可诺罗望子夹心香蕉脆片,12,30克,个,5.2,9.9,9.9,中国,"",1,120041.jpg,"",9999,yes
120042,9557291018210,食尚美洲黑加仑,12,210g,瓶,8.8,15.8,15.8,中国,"",1,120042.jpg,"",9999,yes
120043,9557291018203,食尚相思梅槟榔果,12,210g,瓶,8.8,15.8,15.8,中国,"",1,120043.jpg,"",9999,yes
130008,6925303754952,小茗同学,13,480ml,个,4,5,0,中国,"",1,130008.jpg,"",9999,yes
130009,6900067110268,味动力,13,338ml,个,4.17,6,0,中国,"",1,130009.jpg,"",9999,yes
130010,6902083905293,哇哈哈乳酸菌,13,100ml,个,5,8,8,中国,"",1,130010.jpg,"",9999,yes
170001,8850291281303,泰国东园盐焗开心果,17,140g,瓶,15,27.5,27.5,中国,"",1,170001.jpg,"",9999,yes
170002,8850291211409,泰国东园盐焗腰果,17,150g,瓶,15,27.5,27.5,中国,"",1,170002.jpg,"",9999,yes
170003,8850291531309,泰国东园盐焗综合坚果,17,150g,瓶,15,27.5,27.5,中国,"",1,170003.jpg,"",9999,yes
170004,8850291102578,泰国东园天然什锦果仁,17,140g,瓶,15,27.5,27.5,中国,"",1,170004.jpg,"",9999,yes
190007,,森惠源蜂蜜,19,,瓶,0,30,0,中国,"",1,190007.jpg,"",9999,yes
190008,8936044155029,李小龙速溶蜂蜜柠檬绿茶,19,150g,盒,2.9,12,12,中国,"",1,190008.jpg,"",9999,yes
190009,8936044155036,李小龙速溶蜂蜜柠檬红茶,19,150g,盒,2.9,12,12,中国,"",1,190009.jpg,"",9999,yes
190010,8936044155043,李小龙速溶奶茶绿茶味,19,150g,盒,2.9,12,12,中国,"",1,190010.jpg,"",9999,yes
190011,9555021504804,亚发咖啡,19,300g,袋,25,38,38,中国,"",1,190011.jpg,"",9999,yes
