商品编号,售价,会员价
40070,8.5,7.7
40071,15.8,14.2
40072,15.8,14.2
40078,13.8,12.4
40087,12.0,10.8
40088,12.0,10.8
40089,8.5,7.7
40090,8.5,7.7
40091,5.0,4.5
40092,5.0,4.5
40093,6.0,5.4
50001,3.0,2.7
50002,5.5,5.0
50003,5.5,5.0
50004,5.5,5.0
50005,18.0,16.2
50006,100.0,90.0
50007,9.9,8.9
50008,4.0,3.6
50009,4.0,3.6
50010,4.0,3.6
50011,6.5,5.9
50012,6.5,5.9
50013,6.5,5.9
50014,6.5,5.9
50015,7.8,7.0
50016,7.8,7.0
50017,7.8,7.0
50018,7.8,7.0
50019,3.5,3.1
50020,8.5,7.7
50021,8.5,7.7
50022,8.5,7.7
50023,4.5,4.0
50024,7.5,6.8
60001,52.9,47.6
60002,52.9,47.6
60003,52.9,47.6
60004,79.9,71.9
60005,45.0,40.5
60006,18.0,16.2
60007,18.0,16.2
60008,18.0,16.2
60009,85.0,76.5
70001,1.0,0.9
70002,1.0,0.9
70003,1.0,0.9
70004,3.0,2.7
70005,4.0,3.6
70006,11.8,10.6
70007,3.0,2.7
70008,3.0,2.7
80001,1.0,0.9
80002,4.5,4.0
80003,4.5,4.0
80004,4.5,4.0
80005,9.9,8.9
80006,9.9,8.9
80007,33.9,30.5
80008,33.9,30.5
80009,24.0,21.6
80010,24.0,21.6
80011,18.0,16.2
80012,15.8,14.2
80013,15.8,14.2
80014,15.8,14.2
80015,39.0,35.1
80016,39.0,35.1
80017,39.0,35.1
80018,42.0,37.8
80019,42.0,37.8
80020,22.0,19.8
80021,22.0,19.8
80022,25.0,22.5
80023,25.0,22.5
80024,25.0,22.5
80025,18.0,16.2
80026,98.9,89.0
80027,29.9,26.9
80028,29.9,26.9
80029,220.0,198.0
90001,5.0,4.5
90002,5.0,4.5
90003,1.0,0.9
90004,2.5,2.2
90005,1.0,0.9
90006,3.0,2.7
90007,3.0,2.7
90008,100.0,90.0
90009,1.0,0.9
90010,1.0,0.9
90011,1.0,0.9
90012,2.0,1.8
90013,2.0,1.8
90014,2.0,1.8
90015,9.0,8.1
90016,9.0,8.1
90017,9.0,8.1
90019,9.0,8.1
90020,8.9,8.0
90021,14.9,13.4
90022,14.9,13.4
90023,14.9,13.4
90024,14.9,13.4
90025,14.9,13.4
90026,14.9,13.4
90027,2.0,1.8
90040,10.0,9.0
90041,10.0,9.0
90042,13.0,11.7
90043,13.0,11.7
90044,13.0,11.7
90045,1.0,0.9
90046,1.0,0.9
90047,4.5,4.0
90048,4.5,4.0
90049,4.5,4.0
90050,5.0,4.5
90051,8.0,7.2
90052,3.0,2.7
90053,8.0,7.2
90054,8.0,7.2
90055,3.0,2.7
90056,8.0,7.2
90057,8.0,7.2
90058,2.0,1.8
90059,18.0,16.2
90060,30.0,27.0
90061,25.0,22.5
90062,2.0,1.8
90063,3.0,2.7
90064,10.0,9.0
90065,10.0,9.0
90066,10.0,9.0
90067,10.0,9.0
90068,10.0,9.0
90069,4.0,3.6
90070,4.0,3.6
90071,5.0,4.5
90072,5.0,4.5
90073,5.0,4.5
90074,5.0,4.5
90075,9.0,8.1
90076,9.0,8.1
90077,9.0,8.1
90078,9.0,8.1
100001,9.9,8.9
100002,13.8,12.4
100003,8.8,7.9
100004,8.8,7.9
100005,14.9,13.4
100006,14.9,13.4
100007,12.0,10.8
100008,12.0,10.8
100009,9.9,8.9
100010,9.9,8.9
100011,15.8,14.2
100012,15.8,14.2
100013,15.8,14.2
100014,13.9,12.5
100015,13.9,12.5
100016,13.9,12.5
100017,4.0,3.6
100018,4.0,3.6
100019,5.0,4.5
100020,5.0,4.5
100021,8.0,7.2
100022,38.0,34.2
100023,14.5,13.1
100024,9.9,8.9
100025,9.9,8.9
100026,9.9,8.9
100027,9.9,8.9
100028,32.9,29.6
100029,6.0,5.4
100030,6.0,5.4
100031,5.8,5.2
100032,5.8,5.2
100033,5.8,5.2
100034,7.5,6.8
100035,2.0,1.8
100036,2.0,1.8
100037,8.5,7.7
100038,8.5,7.7
100039,8.5,7.7
100040,14.5,13.1
100041,14.5,13.1
100042,14.5,13.1
100043,14.5,13.1
100044,12.0,10.8
100045,12.0,10.8
100046,12.0,10.8
100047,8.0,7.2
100048,8.0,7.2
100049,16.8,15.1
110001,8.0,7.2
110002,8.0,7.2
110003,12.9,11.6
110004,12.9,11.6
120001,15.8,14.2
120002,15.8,14.2
120003,15.8,14.2
120004,15.8,14.2
120005,15.8,14.2
120006,30.0,27.0
120007,30.0,27.0
120008,30.0,27.0
120009,30.0,27.0
120010,28.0,25.2
120011,28.0,25.2
120012,6.5,6.5
120013,6.5,6.5
120014,6.5,6.5
120015,18.0,16.2
120016,18.0,16.2
120017,18.0,16.2
120018,18.0,16.2
120019,18.0,16.2
120020,18.0,16.2
120021,6.5,5.9
120022,30.0,27.0
120023,30.0,27.0
120024,30.0,27.0
120025,30.0,27.0
120026,30.0,27.0
120027,30.0,27.0
120028,23.0,20.7
120029,23.0,20.7
120030,23.0,20.7
120031,24.0,21.6
120032,24.0,21.6
130001,3.5,3.1
130002,3.0,2.7
130003,3.0,2.7
130004,3.0,2.7
130005,2.0,1.8
130006,4.0,3.6
130007,4.0,3.6
140001,2.5,2.2
140002,3.0,2.7
150001,12.0,10.8
150002,12.0,10.8
150003,6.0,5.4
150004,12.0,10.8
150005,12.0,10.8
150006,15.0,13.5
150007,8.0,7.2
150008,7.0,6.3
150009,2.0,1.8
150010,10.0,9.0
150011,10.0,9.0
150012,0.25,0.2
150013,12.0,10.8
150014,18.0,16.2
150015,35.0,31.5
150016,48.0,43.2
150017,45.0,40.5
150018,2.0,1.8
150019,38.0,34.2
150020,35.0,31.5
150021,25.0,22.5
150022,48.0,43.2
150023,45.0,40.5
150024,55.0,49.5
150025,12.0,10.8
150026,15.0,13.5
150027,60.0,54.0
150028,65.0,58.5
150029,68.0,61.2
150030,5.0,4.5
150031,15.0,13.5
150032,45.0,40.5
150033,40.0,36.0
150034,28.0,25.2
150035,28.0,25.2
150036,28.0,25.2
150037,25.0,22.5
150038,20.0,18.0
150039,28.0,25.2
150040,15.0,13.5
150041,15.0,13.5
150042,38.0,34.2
150043,25.0,22.5
150044,90.0,81.0
150045,35.0,31.5
150046,40.0,36.0
150047,12.0,10.8
150048,30.0,27.0
150049,30.0,27.0
150050,30.0,27.0
150051,6.0,5.4
150052,13.0,11.7
150053,20.0,18.0
150054,35.0,31.5
150055,9.0,8.1
150056,7.0,6.3
150057,8.0,7.2
150058,38.0,34.2
150059,18.0,16.2
150060,10.0,9.0
150061,35.0,31.5
150062,35.0,31.5
150063,12.0,10.8
150064,12.0,10.8
150065,8.0,7.2
150066,90.0,81.0
150067,25.0,22.5
150068,18.0,16.2
150069,1.0,0.9
150070,1.0,0.9
160001,6.0,5.4
160002,6.0,5.4
160003,5.5,5.0
160004,18.0,16.2
160005,6.5,5.9
180001,3.8,3.4
180002,3.8,3.4
180003,3.8,3.4
190001,35.0,31.5
190002,38.0,34.2
190003,35.0,31.5
190004,35.0,31.5
190005,3.0,2.7
190006,3.0,2.7
200001,1.0,0.9
210001,15.8,14.2
210002,15.8,14.2
10063,36.0,32.4
10064,2.0,1.8
10065,2.0,1.8
20069,12.5,12.5
20070,12.5,12.5
20071,12.5,12.5
20072,12.5,12.5
20073,12.5,12.5
20074,12.5,12.5
20075,6.0,6.0
20076,4.0,4.0
20077,5.0,5.0
20097,5.0,5.0
20098,6.0,6.0
40080,12.0,10.8
40081,12.0,10.8
40082,12.0,10.8
40083,12.0,10.8
40084,12.0,10.8
40085,4.5,4.0
40086,4.5,4.0
40094,14.9,13.4
40100,5.0,4.5
50025,7.5,6.8
60010,18.0,16.2
60011,18.0,16.2
60012,24.0,21.6
60013,24.0,21.6
60014,9.6,8.6
60015,9.6,8.6
60016,9.6,8.6
60017,25.0,22.5
60018,28.0,25.2
60019,28.0,25.2
60020,28.0,25.2
70009,2.0,1.8
70010,6.7,6.0
70011,3.8,3.4
70012,3.8,3.4
80030,48.0,43.2
80031,32.0,28.8
80032,18.0,16.2
90079,5.5,5.0
90080,5.5,5.0
90081,8.0,7.2
90082,8.0,7.2
100050,28.8,25.9
100051,8.0,7.2
100052,25.0,22.5
100053,18.0,16.2
120033,23.0,20.7
120034,23.0,20.7
120035,23.0,20.7
120036,3.5,3.1
120037,3.5,3.1
120038,18.0,16.2
120039,18.0,16.2
120040,18.0,16.2
120041,9.9,8.9
120042,15.8,14.2
120043,15.8,14.2
130008,5.0,4.5
130009,6.0,5.4
130010,8.0,7.2
170001,27.5,24.8
170002,27.5,24.8
170003,27.5,24.8
170004,27.5,24.8
190007,30.0,27.0
190008,12.0,10.8
190009,12.0,10.8
190010,12.0,10.8
190011,38.0,34.2
