商品编号,条形码,商口名称,类型,商品规格,单位,进价,售价,会员价,产地,描述,有货,图片,推荐,排名,新品
70009,8993175537629,丽芝士大奶酪玉米棒,07,20g,个,0.85,2,2,"","","","","","",""
70010,8801077267608,海地村鳕鱼肠,07,40g,盒,4.7,6.7,6.7,"","","","","","",""
70011,4800092553011,好味草莓夹心甜甜圈,07,40克,个,1.8,3.8,3.8,"","","","","","",""
70012,4800092552779,好味奶油夹心甜甜圈,07,40克,个,1.8,3.8,3.8,"","","","","","",""
80030,4002017089005,佳莉敏德国洋甘菊护手霜,08,10ml*3,个,26.4,48,48,"","","","","","",""
80031,083078002084,小蜜媞修护唇膏,08,10g,个,18,32,32,"","","","","","",""
80032,4901221818305,惠百施sweep洁丽牙刷,08,,个,10.95,18,18,"","","","","","",""
90079,6937451831249,不二家8只装水果味（中包）,09,500g,包,4,5.5,5.5,"","","","","","",""
90080,6937451831751,不二家8支装清爽型（中包）,09,460g,包,4,5.5,5.5,"","","","","","",""
90081,6920727804078,茉莉薄荷压片糖,09,12克,个,2,8,8,"","","","","","",""
90082,6925253944014,RIO皓洁冰爽薄荷糖,09,15克,个,2,8,8,"","","","","","",""
100050,8850157500975,巧客黄油味威化饼干,10,432g,个,16,28.8,28.8,"","","","","","",""
100051,8801062272174,乐天扁桃仁巧克力棒,10,32克,盒,4,8,8,"","","","","","",""
100052,4897047801297,TOY卡通饼干,10,,袋,10,25,25,"","","","","","",""
100053,6936222800231,德多鱿鱼酥四联包,10,,个,10,18,18,"","","","","","",""
120033,8852023665511,大哥烧烤花生,12,230g,瓶,11.5,23,23,"","","","","","",""
120034,8852023666549,大哥酸辣花生,12,230g,瓶,11.5,23,23,"","","","","","",""
120035,8852023664255,大哥咖啡花生,12,230g,瓶,11.5,23,23,"","","","","","",""
120036,6948004700400,鲜引力柠檬片,12,18克,包,1.8,3.5,3.5,"","","","","","",""
120037,6948004700646,鲜引力金橙片,12,16克,包,1.8,3.5,3.5,"","","","","","",""
120038,6291100213184,波斯王椰枣（那格哈尔）,12,120克,个,9,18,18,"","","","","","",""
120039,6291100213177,波斯王（可汗拉斯）,12,120克,个,9,18,18,"","","","","","",""
120040,6291100213191,波斯王（鲁鲁）,12,160克,个,9,18,18,"","","","","","",""
120041,8854099006243,怡可诺罗望子夹心香蕉脆片,12,30克,个,5.2,9.9,9.9,"","","","","","",""
120042,9557291018210,食尚美洲黑加仑,12,210g,瓶,8.8,15.8,15.8,"","","","","","",""
120043,9557291018203,食尚相思梅槟榔果,12,210g,瓶,8.8,15.8,15.8,"","","","","","",""
130008,6925303754952,小茗同学,13,480ml,个,4,5,0,"","","","","","",""
130009,6900067110268,味动力,13,338ml,个,4.17,6,0,"","","","","","",""
130010,6902083905293,哇哈哈乳酸菌,13,100ml,个,5,8,8,"","","","","","",""
170001,8850291281303,泰国东园盐焗开心果,17,140g,瓶,15,27.5,27.5,"","","","","","",""
170002,8850291211409,泰国东园盐焗腰果,17,150g,瓶,15,27.5,27.5,"","","","","","",""
170003,8850291531309,泰国东园盐焗综合坚果,17,150g,瓶,15,27.5,27.5,"","","","","","",""
170004,8850291102578,泰国东园天然什锦果仁,17,140g,瓶,15,27.5,27.5,"","","","","","",""
190007,,森惠源蜂蜜,19,,瓶,0,30,0,"","","","","","",""
190008,8936044155029,李小龙速溶蜂蜜柠檬绿茶,19,150g,盒,2.9,12,12,"","","","","","",""
190009,8936044155036,李小龙速溶蜂蜜柠檬红茶,19,150g,盒,2.9,12,12,"","","","","","",""
190010,8936044155043,李小龙速溶奶茶绿茶味,19,150g,盒,2.9,12,12,"","","","","","",""
190011,9555021504804,亚发咖啡,19,300g,袋,25,38,38,"","","","","","",""
