商品编号,条形码,商口名称,类型,商品规格,单位,进价,售价,会员价,产地,描述,有货,图片,推荐,排名,新品
10054,,豆菇粮豆香卷,1,,公斤,27,55.2,55.2,,,,,,9999,no
10055,,阿伯仔藕巴脆,1,,公斤,24,49.6,49.6,,,,,,9999,no
10056,,牛肚,1,,公斤,72,131.6,131.6,,,,,,9999,no
10057,,渔夫鱼豆腐,1,,公斤,34,71.6,71.6,,,,,,9999,no
10058,,扬州好吃神泡椒猪皮,1,,公斤,36,75.6,75.6,,,,,,9999,no
10059,,香香嘴豆板筋,1,,公斤,32,65.6,65.6,,,,,,9999,no
10060,,逗嘴凤爪,1,,公斤,36,75.6,75.6,,,,,,9999,no
10061,,开口爽馋猫脆笋,1,,公斤,20,39.6,39.6,,,,,,9999,no
10062,,高品轩五香肉粒,1,,公斤,70,119.6,119.6,台湾,,1,10062.jpg,,9999,no
20001,4712206985864,国农乳香巧克力味牛乳195ml,2,,瓶,4,6.8,6.8,中国,,1,20001.jpg,,9999,no
20002,4712206985895,国农乳香布丁味牛乳195ml,2,,瓶,4,6.8,6.8,中国,,1,20002.jpg,,9999,no
20003,4712206985888,国农乳香草莓味牛乳195ml,2,,瓶,4,6.8,6.8,中国,,1,20003.jpg,,9999,no
20004,4712206985901,国农乳香大麦味牛乳195ml,2,,瓶,4,6.8,6.8,中国,,1,20004.jpg,,9999,no
20005,4712206985871,国农乳香冰淇淋味牛乳195ml,2,,瓶,4,6.8,6.8,中国,,1,20005.jpg,,9999,no
20006,4710111900705,绿力水蜜桃饮料500ml,2,,瓶,4.25,6.5,6.5,,,,,,9999,no
20007,4710111900729,绿力番石榴饮料500ml,2,,瓶,4.25,6.5,6.5,,,,,,9999,no
20008,4710111901535,绿力葡萄汁饮料480ml,2,,瓶,4.25,6.5,6.5,,,,,,9999,no
20009,4710111901719,绿力芒果饮料500ml,2,,瓶,4.25,6.5,6.5,,,,,,9999,no
20010,4710111904161,绿力菠萝饮料490ml,2,,瓶,4.25,6.5,6.5,,,,,,9999,no
20011,4710110811422,绿力冬瓜饮料500ml,2,,瓶,4.25,6.5,6.5,,,,,,9999,no
20012,4712826825007,台湾美馔番石榴汁490ml,2,,瓶,4,6.5,6.5,,,,,,9999,no
20013,4712826825052,台湾美馔金桔柠檬490ml,2,,瓶,4,6.5,6.5,,,,,,9999,no
20014,4712826825069,台湾美馔百香果汁490ml,2,,瓶,4,6.5,6.5,,,,,,9999,no
20015,4712826825076,台湾美馔提子汁490ml,2,,瓶,4,6.5,6.5,,,,,,9999,no
20016,4712826825014,台湾美馔芒果490ml,2,,瓶,4,6.5,6.5,,,,,,9999,no
20017,4712826825021,台湾美馔水蜜桃汁490ml,2,,瓶,4,6.5,6.5,,,,,,9999,no
20018,6901285991219,中怡宝水600ML,2,,支,1.07,2,2,,,1,20018.jpg,,9999,no
20019,4047900004567,巴伐利亚狮冠-黑啤500ML,2,,瓶,6,9.9,9.9,,,,,,9999,no
20020,4047900003171,巴伐利亚狮冠-小麦白啤500ML,2,,瓶,6,9.9,9.9,,,1,20020.jpg,,9999,no
20021,5032619300023,圣宝庆贺无醇气泡饮料白葡萄,2,,瓶,29,48,48,,,,,,9999,no
20022,5032619310060,圣宝庆贺无醇气泡饮料白葡萄草莓,2,,瓶,29,48,48,,,,,,9999,no
20023,8850267112624,力大狮豆奶原味125ml,2,,个,1.35,3,3,,,,,,9999,no
20024,8850267112631,力大狮豆奶朱古力味125ml,2,,个,1.35,3,3,,,,,,9999,no
20025,8850267112686,力大狮豆奶低糖125ml,2,,盒,1.35,3,3,,,,,,9999,no
20026,8801887810056,九日牌芒果果汁饮料,2,,个,2.5,4,4,,,1,20026.jpg,,9999,no
20027,4710696102181,润之泉百香果梅子汁饮料,2,,瓶,4.5,6.5,6.5,,,,,,9999,no
20028,4710696102785,润之泉冰糖雪梨芦荟汁饮料,2,,瓶,4.5,6.5,6.5,,,,,,9999,no
20029,4710696102860,润之泉荸荠甘蔗汁饮料,2,,瓶,4.5,6.5,6.5,,,,,,9999,no
20030,4710696102884,润之泉梅子汁饮料,2,,瓶,4.5,6.5,6.5,,,,,,9999,no
20031,4710696102198,润之泉杨桃饮料,2,,瓶,4.5,6.5,6.5,,,,,,9999,no
20032,4710696102891,润之泉龙眼红枣味饮料,2,,瓶,4.5,6.5,6.5,,,,,,9999,no
20033,1264904,星巴克摩卡味280ml,2,,瓶,11.5,18,18,美国,,,20033.jpeg,,9999,no
20034,1241000,星巴克香草味280ml,2,,瓶,11.5,18,18,美国,,,20033.jpeg,,9999,no
20035,1235504,星巴克原味280ml,2,,瓶,11.5,18,18,美国,,,20033.jpeg,,9999,no
20036,4897049890091,猫屎咖啡,2,,瓶,5,8.5,8.5,印度尼西亚,,1,20036.JPG,,1,no
20037,,宝露露牛奶味饮料235ml,2,,瓶,4.5,100,0,韩国,,,20037.JPG,,9999,no
20038,,宝露露苹果味饮料235ml,2,,瓶,4.5,100,0,韩国,,,20038.jpg,,9999,no
20039,,宝露露蓝莓味饮料235ml,2,,瓶,4.5,100,0,韩国,,,20039.jpg,,9999,no
20040,8801128945073,啵乐乐牛奶味饮料,2,,瓶,4.5,6.5,6.5,韩国,,,20040.jpg,,9999,no
20041,8801048941001,真露酒（红色）,2,,瓶,10,15,15,韩国,,,20041.jpg,,9999,no
20042,8801048951000,真露酒（蓝色）,2,,瓶,10,15,15,韩国,,,20042.png,,9999,no
20043,8801128945462,啵乐乐苹果味饮料,2,,瓶,4.5,6.5,6.5,韩国,,,20044.jpg,,9999,no
20044,8809296888345,啵乐乐葡萄桃子味饮料,2,,瓶,4.5,6.5,6.5,韩国,,,20044.jpg,,9999,no
20045,8809296885801,啵乐乐蓝莓味饮料,2,,瓶,4.5,6.5,6.5,韩国,,,20044.jpg,,9999,no
20046,6924862100033,600ml百事,2,,瓶,2.2,3,3,中国,,1,20046.jpg,,9999,no
20047,6907992512587,味可滋香蕉牛奶,2,,瓶,4.4,5.5,5.5,中国,,,20047.jpg,,9999,no
20048,8935024141342,中原G7-3合1速溶咖啡,2,,盒,9,13,13,越南,,,20048.jpg,,9999,no
20049,8693593118621,阿卡娜青柠檬味充气（维C）,2,,瓶,2,5,5,土耳其,,,20049.jpg,,9999,no
20050,8693593118317,阿卡娜柠檬味充气（维C）,2,,瓶,2,5,5,土耳其,,,20049.jpg,,9999,no
20052,8693593302518,阿卡娜矿泉水（充气型）,2,,瓶,2,4,4,土耳其,,,20049.jpg,,9999,no
20053,5290074002863,芬特乐石榴苹果葡萄汁,2,,罐,3,5,5,塞普路斯,,1,20053.JPG,,1,no
20054,5290074003174,芬特乐苹果汁,2,,罐,3,5,5,塞普路斯,,,20054.JPG,,9999,no
20055,5290074002849,芬特乐橙汁,2,,瓶,3,5,5,塞普路斯,,,20055.jpg,,9999,no
20056,8801887802174,九日桃果肉果汁饮料,2,,瓶,3,5,5,韩国,,1,20056.jpg,,1,no
20057,8801887810070,九日葡萄果肉果汁饮料,2,,瓶,3,5,5,韩国,,1,20057.jpg,,1,no
20058,8801887810094,九日橙子果肉果汁饮料,2,,瓶,3,5,5,韩国,,1,20058.jpg,,1,no
20059,8801887810117,九日草莓果汁饮料,2,,瓶,3,5,5,韩国,,1,20059.jpg,,1,no
20060,8882480883234,维他500,2,,瓶,3,5,5,韩国,,1,20060.jpg,1,8,no
20061,6956367338680,王老吉,2,,个,2.42,4,4,中国,,1,20061.jpg,,9999,no
20062,6935145301030,RIO水蜜桃白兰地鸡尾酒,2,275ML,瓶,9.17,13,13,巴西,,1,20062.jpg,,1,no
20063,6935145301078,RIO紫葡萄白兰地鸡尾酒,2,,个,9.17,13,13,巴西,,1,20063.jpg,,9999,no
20064,6935145301023,RIO橙味伏特加鸡尾酒,2,,个,9.17,13,13,巴西,,1,20064.jpg,,9999,no
20065,6935145301061,RIO宾治伏特加鸡尾酒,2,,个,9.17,13,13,巴西,,1,20065.jpg,,9999,no
20066,6935145301047,RIO蓝玫瑰威士忌,2,,个,9.17,13,13,巴西,,1,20066.jpg,,1,no
20067,6925303730574,阿萨姆奶茶,2,,瓶,3.13,4,4,中国,,1,20067.jpg,,9999,no
20068,8809424980248,蘑菇饮料-水蜜桃,2,,瓶,4,6.5,6.5,泰国,,1,20068.jpg,,1,no
30001,6944065426495,淘吉胶原蛋白果冻（维C芒果）2杯,3,,包,10,18,18,中国,,1,30001.jpg,,1,no
30002,6944065426549,淘吉胶原蛋白果冻冰糖雪梨2杯,3,,包,10,18,18,中国,,,30002.jpg,,1,no
30003,6944065426556,淘吉胶原蛋白果冻蜂蜜柚子2杯,3,,包,10,18,18,中国,,,30003.jpg,,1,no
30004,6944065400037,淘吉果冻（芒果山竹蓝莓）,3,,包,4.5,7.8,7.8,中国,,,30004.jpg,,9999,no
30005,6944065426266,淘吉果冻（芒果水蜜桃奇异果）,3,,个,4.5,7.8,7.8,中国,,,,,9999,no
30006,6944065427881,淘吉米洛斯火山冻（芒果酱味）,3,,个,3.5,5,5,中国,,,30006.png,,9999,no
30007,6944065427898,淘吉米洛斯火山冻（草莓酱味）,3,,个,3.5,5,5,中国,,,30006.png,,9999,no
30008,6944065427904,淘吉米洛斯火山冻（蓝莓酱味）,3,,个,3.5,5,5,中国,,,30006.png,,9999,no
30009,6944065428291,淘吉火山冻乳酸菌可吸布丁草莓味,3,,个,2.5,3.5,3.5,中国,,,30009.jpg,,9999,no
30010,6944065428314,淘吉火山冻乳酸菌可吸布丁原味,3,,个,2.5,3.5,3.5,中国,,,30009.jpg,,9999,no
40001,8801039280027,海飘海苔,4,,包,7.63,12,12,韩国,,1,40001.jpg,1,1,no
40002,9556296131863,洛当马铃薯（附辣椒茄酱）,4,,瓶,9.5,15,15,马来西亚,,1,40002.jpg,,9999,no
40003,9556296131870,洛当马铃薯（附番茄酱）,4,,瓶,9.5,14.9,14.9,马来西亚,,,40003.jpg,,9999,no
40004,4711162824088,北田米饼（牛奶）,4,,包,8.75,13.8,13.8,台湾,,1,40004.jpg,,1,no
40005,4711162824033,北田米饼（蛋黄）,4,,个,8.75,13.8,13.8,台湾,,1,40005.jpg,,9999,no
40006,4711162824613,北田米饼（香蕉牛奶）,4,,个,8.75,13.8,13.8,台湾,,1,40006.jpg,,9999,no
40007,8857107231774,小老板脆紫菜-经典味,4,,包,6.5,9.9,9.9,泰国,,,40007.jpg,,9999,no
40008,8032755321262,Tedesco全麦饼干,4,,包,12.8,18.8,18.8,意大利,,,,,9999,no
40009,8032755321088,Tedesco奶油饼干,4,,包,12.8,18.8,18.8,意大利,,,,,9999,no
40010,8032755321101,Tedesco糖花装饰饼干,4,,包,12.8,18.8,18.8,意大利,,,,,9999,no
40011,8032755321118,Tedesco巧克力饼干,4,,包,12.8,18.8,18.8,意大利,,,,,9999,no
40012,8032755321095,Tedesco可可榛子饼干,4,,包,12.8,18.8,18.8,意大利,,0,,,9999,no
40013,8032755322498,Tedesco梨酱夹心饼干,4,,包,16.8,27.9,27.9,意大利,,,40013.jpg,,9999,no
40014,8032755322481,Tedesco苹果夹心饼干,4,,包,16.8,27.9,27.9,意大利,,1,40014.jpg,,9999,no
40015,8032755322504,Tedesco奶油味榛子酱夹心饼干,4,,包,16.8,27.9,27.9,意大利,,1,40015.jpg,,9999,no
40016,8032755322511,Tedesco可可奶油味夹心饼干,4,,包,16.8,27.9,27.9,意大利,,,,,9999,no
40017,4710098169515,77松塔,4,,个,5.5,8.5,8.5,台湾,,,40017.JPG,,9999,no
40018,4710098169539,77意式披萨味松塔,4,,个,5.5,8.5,8.5,台湾,,,40018.jpg,,9999,no
40019,4710098169522,77纯黑千层,4,,个,5.5,8.5,8.5,台湾,,1,40018.jpg,,1,no
40020,4897008531126,华美牛油曲奇90g,4,,盒,4.5,7.9,7.9,,,1,40020.jpg,,9999,no
40021,4897008531164,华美丹麦曲奇90g,4,,盒,4.5,7.9,7.9,,,1,40021.jpg,,9999,no
40022,4713507008344,Aji五谷纤麦味苏打饼干,4,,个,7.5,12,12,中国,,1,40022.jpg,,9999,no
40023,4713507023545,Aji苏打饼干（亚麻籽）,4,,个,7.5,12,12,中国,,1,40023.jpg,1,9,no
40024,4713507023538,Aji苏打饼干（燕麦）,4,,个,7.5,12,12,中国,,1,40024.jpg,,9999,no
40025,4713507011535,果子町-奶盐味苏打饼干,4,,包,6,9.9,9.9,中国,,1,40025.jpg,,9999,no
40026,4713507019128,果子町-香葱味苏打饼干,4,,包,6,9.9,9.9,中国,,1,40025.jpg,,9999,no
40027,4713507019067,果子町-五谷味苏打饼干,4,,包,6,9.9,9.9,中国,,1,40025.jpg,,9999,no
40028,4713507019135,果子町-黑芝麻味苏打饼干,4,,包,6,9.9,9.9,中国,,1,40025.jpg,,1,no
40029,4711148352222,河马莉蛋酥综合水果味,4,,罐,9,14.5,14.5,台湾,,1,40029.jpg,,9999,no
40030,4711148355681,河马莉蛋酥特浓牛奶味,4,,罐,9,14.5,14.5,台湾,,1,40030.jpg,,1,no
40031,4711148356176,河马莉特脆薯条-马铃薯味,4,,罐,8.5,14.9,14.9,台湾,,1,40031.jpg,,1,no
40032,4711148356213,河马莉蛋酥特浓牛奶80g,4,,包,6.5,9.9,9.9,台湾,,1,40032.jpeg,,9999,no
40033,4711148356114,河马莉手指饼干（特浓牛奶味）,4,,罐,8.5,14.5,14.5,台湾,,1,40033.jpg,,9999,no
40034,8809027290195,韩今风味海苔（调味海苔）,4,,包,4,9.9,9.9,韩国,,,40034.jpg,,9999,no
40035,9557152500137,AFC爆米花（焦糖味）,4,,个,4,9.9,9.9,马来西亚,,1,40035.png,,9999,no
40036,9557152500144,AFC爆米花（黑巧克味）,4,,个,4,9.9,9.9,马来西亚,,1,40036.jpg,,9999,no
40037,9557152500151,AFC爆米花（白巧克力味）,4,,个,4,9.9,9.9,马来西亚,,1,40037.png,,1,no
40038,4712245013030,大同甜甜圈-牛奶花生,4,,包,4.1,8.9,8.9,台湾,,,40038.jpeg,,9999,no
40040,4711148356220,河马莉蛋酥布丁80g,4,,包,6.5,9.9,9.9,台湾,,0,40040.jpg,,9999,no
40041,4710199086506,张君雅-巧克力甜甜圈,4,,包,5.4,8.5,8.5,台湾,,1,40041.jpg,,9999,no
40050,8858223010458,VF00DS榴莲夹心饼干,4,,包,8,13.8,13.8,泰国,,,40050.jpg,,9999,no
40051,6937439915169,脆升升薯条原味20g,4,,包,1.4,3,3,中国,,1,40051.jpg,,9999,no
40052,6937439915138,脆升升薯条黑椒味20g,4,,包,1.4,3,3,中国,,1,40052.jpg,,9999,no
40053,6937439915152,脆升升薯条烧烤味20g,4,,包,1.4,3,3,中国,,1,40052.jpg,,9999,no
40054,4711162824330,北田比比熊米饼（胡萝卜）,4,,包,8.75,13.8,13.8,台湾,,1,40054.jpg,,9999,no
40055,4711162824323,北田比比熊米饼（蔬菜口味）,4,,包,8.75,13.8,13.8,台湾,,1,40055.jpg,,9999,no
40060,8801039931561,海牌鱿鱼味海苔,4,,袋,8.5,12,12,韩国,,0,40060.jpg,,9999,no
40061,9556345007491,妙妙鱿鱼味卷,4,,包,4.5,6.9,6.9,马来西亚,,0,40061.jpg,,9999,no
40063,9556345280061,妙妙披萨味,4,,包,4.5,6.9,6.9,马来西亚,,0,40063.jpg,,9999,no
40064,9556345008573,妙妙虾味香脆棒,4,,包,4.5,6.9,6.9,马来西亚,,0,40064.jpg,,9999,no
40065,9556345280016,妙妙鸡味香薯片,4,,包,4.5,6.9,6.9,马来西亚,,0,40065.jpg,,9999,no
40066,8802876203644,九日牌打糕条（白）,4,,包,5.5,9.9,9.9,韩国,,0,40066.jpg,,9999,no
40067,8802876203651,九日牌炒年糕条（红）,4,,个,5.5,9.9,9.9,韩国,,0,40067.JPG,,9999,no
40068,9556345007484,妙妙香薯片,4,,包,4.5,6.9,6.9,马来西亚,,0,40068.jpg,,9999,no
40069,4711162824064,北田米饼卷(海苔味),4,,包,8.75,13.8,13.8,台湾,,1,40069.jpg,1,2,no
40070,4710199080597,张君雅酱烧虾拉面条饼,4,,袋,5.34,8.5,8.5,台湾,,1,40070.jpg,,9999,no
40071,8802876203736,九日蜂蜜黄油薯片,4,,包,10,15.8,15.8,韩国,,1,40071.jpg,,9999,no
40072,8802876203774,九日辣味蜂蜜薯片,4,,包,10,15.8,15.8,韩国,,1,40072.jpg,,1,no
40078,4711162824040,北田米卷蛋黄,4,,个,8.75,13.8,13.8,台湾,,1,40078.jpg,,9999,no
40087,6930570707457,河马莉黑糖南瓜,4,,个,3.5,12,12,台湾,,1,40087.jpg,,9999,no
40088,6930570707280,河马莉花生豆,4,,个,3.5,12,12,台湾,,1,40088.jpg,,9999,no
40089,4710199085509,张君雅碳烤鸡汁点心面,4,,个,5.34,8.5,8.5,台湾,,1,40089.jpg,,9999,no
40090,4710199109205,张君雅草莓味甜甜圈,4,,个,5.35,8.5,8.5,台湾,,1,40090.jpg,,9999,no
40091,8993083928021,威利迷你香橙黑饼干,4,,包,2.5,5,5,印尼,,1,40091.jpg,,1,no
40092,8993083924665,威利巧克力黑饼干,4,,包,2.5,5,5,印尼,,1,40091.jpg,1,1,no
40093,8809022200168,韩国蜂蜜杏仁,4,,包,4.7,6,6,韩国,,,,,9999,no
50001,4710199036617,张君雅五连包点心面,5,,包,1.8,3,3,台湾,,1,50001.jpg,,9999,no
50002,6937891301425,意大利番茄肉酱袋面,5,,包,3.8,5.5,5.5,意大利,,1,50002.jpg,,9999,no
50003,6937891301944,意大利黑胡椒牛肉袋面,5,,个,3.8,5.5,5.5,意大利,,1,50002.jpg,1,4,no
50004,6937891302217,意大利咖喱牛肉袋面,5,,个,3.8,5.5,5.5,意大利,,1,50002.jpg,,9999,no
50005,8858702410823,小老板紫菜棒-原味,4,,盒,10.8,18,18,泰国,,1,50005.jpg,,9999,no
50006,8858702414951,小老板紫菜棒-烧烤味,4,,盒,10.8,100,0,泰国,,1,50006.jpg,,9999,no
50007,8934760211708,友谊牌奶蛋酥脆面包干,5,,包,7,9.9,9.9,越南,,1,50007.jpg,,1,no
50008,6937891300039,盛之禾辣白菜拉面,5,,袋,2.2,4,4,韩国,,0,50008.jpg,,9999,no
50009,6937891300015,盛之禾香菇牛肉拉面,5,,包,2.2,4,4,韩国,,1,50009.jpg,,9999,no
50010,6937891300695,盛之禾牛尾汤面,5,,包,2.2,4,4,韩国,,1,50010.jpg,,9999,no
50011,8801073113084,九日牌泡菜面,5,,袋,4.5,6.5,6.5,韩国,,0,50011.jpg,,9999,no
50012,8801073113107,九日牌大酱面,5,,袋,4.5,6.5,6.5,韩国,,1,50012.jpg,,9999,no
50013,8801073113077,九日牌妈妈手擀面,5,,袋,4.5,6.5,6.5,韩国,,0,50013.jpg,,9999,no
50014,8801073113091,九日牌海鲜面,5,,袋,4.5,6.5,6.5,韩国,,1,50014.jpg,,9999,no
50015,8858829601739,艾米鸡肉味方便面,5,,杯,5,7.8,7.8,泰国,,1,50015.jpg,,9999,no
50016,8858829601753,艾米蔬菜味方便面,5,,杯,5,7.8,7.8,泰国,,0,50016.jpg,,9999,no
50017,8858829601135,艾米东方牛肉味方便面,5,,杯,5,7.8,7.8,泰国,,1,50017.jpg,,9999,no
50018,8858829601173,艾米冬荫功虾味方便面,5,,杯,5,7.8,7.8,泰国,,0,50018.jpg,,9999,no
50019,4710199086704,张君雅捏碎面,5,,包,2.67,3.5,3.5,台湾,,0,50019.jpg,,9999,no
50020,4710199086506,张君雅巧克力甜甜圈,5,,个,5.3,8.5,8.5,台湾,,1,50020.jpg,,9999,no
50021,4710199085707,张君雅日式休闲丸子,5,,个,5.3,8.5,8.5,台湾,,1,50021.jpg,,9999,no
50022,4710199087701,张君雅墨西哥辣鸡点心面,5,,个,5.3,8.5,8.5,台湾,,1,50022.jpg,,9999,no
50023,8858993500067,七咔尼泰式冬阴功方便面,5,,包,2.26,4.5,4.5,泰国,,1,50023.jpg,,1,no
50024,8801043014809,农心辛拉面,5,120g,包,5.5,7.5,7.5,韩国,,1,50024.jpg,,9999,no
60001,770795001741,丹蒂热带水果果仁燕麦片1kg,6,,包,35,52.9,52.9,加拿大,,0,60001.jpg,,9999,no
60002,770795131158,丹蒂水果坚果燕麦片1kg,6,,包,35,52.9,52.9,加拿大,,0,60002.jpg,,9999,no
60003,770795031236,丹蒂葡萄干果仁燕麦片1kg,6,,包,35,52.9,52.9,加拿大,,0,60003.jpg,,9999,no
60004,770795004407,丹蒂热带水果果仁燕麦片1.35kg,6,,包,55,79.9,79.9,加拿大,,0,60004.jpg,,9999,no
60005,770795131301,丹帝速食燕麦片1kg,6,,包,26,45,45,加拿大,,0,60005.jpg,,9999,no
60006,4897049782730,胡萝卜肉松,6,,盒,12,18,18,,,1,,,1,no
60007,4897049782747,海苔肉松,6,,盒,12,18,18,,,1,,,9999,no
60008,4897049782754,原味肉松,6,,盒,12,18,18,,,1,,,9999,no
60009,4901330740672,CALBEE速食麦片,6,,包,58,85,85,日本,,0,60009.jpg,,9999,no
70001,8993175537650,丽芝士芝心棒奶酪夹心卷180g,7,,条,0.43,1,1,印度尼西亚,,1,70001.jpg,,9999,no
70002,8993175537599,丽芝士雅嘉奶酪玉米棒160g,7,,条,0.43,1,1,印度尼西亚,,1,70002.jpg,,9999,no
70003,8803556850462,海牌小力士鱼肠,7,,个,0.5,1,1,韩国,,,70003.jpg,,9999,no
70004,8803556815706,海牌小力士鱼肠,7,,个,1.5,3,3,韩国,,,70003.jpg,,9999,no
70005,,盛之禾泡面,7,,包,2.2,4,4,意大利,,1,70005.jpg,,9999,no
70006,8803556850035,小力士鱼肠,7,100克,袋,7.5,11.8,11.8,韩国,,,70006.jpg,,9999,no
70007,6970013560607,东京香蕉蛋糕,7,,个,0.75,3,3,,,1,70007.jpg,,9999,no
70008,6970013560607,东京香蕉蛋糕芝士,7,,个,0.75,3,3,,,1,70008.jpg,,9999,no
80001,6939049118633,维达纸巾,8,,包,0.26,1,0,中国,,1,80001.jpg,,9999,no
80002,6901236300343,维达湿纸巾（去油去汗）,8,,包,2.6,4.5,0,中国,,1,80002.jpg,,9999,no
80003,6901236300336,维达湿纸巾（清新舒爽）,8,,包,2.6,4.5,0,中国,,1,80003.jpg,,9999,no
80004,6901236300138,维达湿纸巾（洁肤杀菌）,8,,包,2.6,4.5,0,中国,,1,80004.jpg,,9999,no
80005,8801173400909,芜琼花婴幼儿卫生洗衣皂,8,,条,7.5,9.9,9.9,,,1,80005.jpg,1,3,no
80006,8801173400756,芜琼花女性内衣卫生皂,8,,条,6,9.9,9.9,韩国,,1,80006.png,,1,no
80007,8801173901703,芜琼花儿童草莓牙膏套装,8,,支,24.75,33.9,33.9,韩国,,1,80007.jpg,,9999,no
80008,8801173901697,芜琼花儿童热带水果味牙膏套装,8,,支,24.75,33.9,33.9,韩国,,1,80008.jpg,,1,no
80009,8809010171081,O-ZONE9928珍珠瓷白牙膏,8,,支,14.5,24,24,韩国,,1,80009.jpg,,1,no
80010,8809010171074,O-ZONE9928魔力迅白牙膏,8,,支,14.5,24,24,韩国,,1,80010.jpg,,1,no
80011,8809010171067,O-ZONE孕产妇健齿牙膏,8,,支,9.95,18,18,韩国,,1,80011.jpg,,1,no
